"Subject","Trial","EnglishName","Language","SpanishName","logRT"
"112",2,"mailbox","English","buzón",6.69332366826995
"112",3,"moon","English","luna",6.4150969591716
"112",4,"thumb","English","dedo",6.43615036836943
"112",5,"unicycle","English","monociclo",6.80572255341699
"112",6,"wolf","English","lobo",6.55819780281227
"112",7,"helmet","English","casco",6.51323011091231
"112",8,"shoe","English","zapato",6.4118182677099
"112",9,"railroadtracks","English","vías",6.64898455002478
"112",10,"tree","English","árbol",6.4150969591716
"112",11,"knife","English","cuchillo",6.39526159811545
"112",12,"flag","English","bandera",6.60800062529609
"112",14,"basket","English","canasta",6.4118182677099
"112",16,"pencil","English","lápiz",6.47850964220857
"112",18,"bone","English","hueso",6.4723462945009
"112",19,"arm","English","brazo",6.46614472423762
"112",20,"ladder","English","escalera",6.84481547920826
"112",21,"well","English","pozo",6.7093043402583
"112",22,"safe","English","caja fuerte",6.5694814204143
"112",23,"ear","English","oreja",7.09837563859079
"112",25,"bear","English","oso",6.52356230614951
"112",27,"beard","English","barba",6.67582322163485
"112",28,"wagon","English","carrito",7.47022413589997
"112",29,"mixer","English","batidora",6.65027904858742
"112",31,"belt","English","cinturón",6.58063913728495
"112",32,"bowl","English","plato",6.58063913728495
"112",35,"dog","English","perro",7.36707705988101
"112",38,"church","English","iglesia",7.21081845347222
"112",40,"apple","English","manzana",6.88346258641309
"112",41,"glove","English","güante",6.75809450442773
"112",42,"whale","English","ballena",6.76157276880406
"112",43,"nose","English","naríz",6.59441345974978
"112",44,"house","English","casa",6.60665018619822
"112",45,"airplane","English","avión",6.86797440897029
"112",46,"king","English","rey",6.69950034016168
"112",49,"backpack","English","mochila",6.65672652417839
"112",50,"woman","English","mujer",6.83410873881384
"112",51,"heart","English","corazón",6.6052979209482
"112",53,"bed","English","cama",6.72503364216684
"112",57,"bell","English","campana",6.45833828334479
"112",58,"carrot","English","zanahoria",6.68461172766793
"112",59,"barbecue","English","asador",6.74051935960622
"112",62,"turkey","English","pavo",6.83625927727707
"112",64,"vacuum","English","aspiradora",6.74523634948436
"112",65,"sewing machine","English","máquina de coser",7.34018683532012
"112",66,"safetypin","English","seguro",6.97354301952014
"112",68,"bandaid","English","curita",6.55250788703459
"112",70,"lightswitch","English","apagador",6.52209279817015
"112",71,"broom","English","escoba",6.44094654063292
"108",1,"flag","English","bandera",7.34858753092759
"108",2,"knife","English","cuchillo",7.08002649992259
"108",3,"unicycle","English","monociclo",7.23777819192344
"108",4,"heart","English","corazón",6.92559519711047
"108",5,"railroadtracks","English","vías",7.09174211509515
"108",7,"well","English","pozo",7.23993259132047
"108",8,"ladder","English","escalera",7.56060116276856
"108",9,"church","English","iglesia",7.13009851012558
"108",10,"glove","English","güante",7.16006920759613
"108",12,"airplane","English","avión",6.93634273583405
"108",13,"bed","English","cama",6.77650699237218
"108",14,"lightswitch","English","apagador",6.92853781816467
"108",16,"wolf","English","lobo",6.77078942390898
"108",17,"arm","English","brazo",6.68336094576627
"108",20,"ear","English","oreja",7.14045304310116
"108",21,"belt","English","cinturón",6.85435450225502
"108",24,"bell","English","campana",6.78671695060508
"108",26,"backpack","English","mochila",7.15539630189673
"108",27,"nose","English","naríz",6.81783057145415
"108",30,"mailbox","English","buzón",7.60290046220476
"108",31,"mixer","English","batidora",7.04577657687951
"108",38,"wagon","English","carrito",7.55642796944025
"108",40,"basket","English","canasta",7.09589322109753
"108",42,"moon","English","luna",7.10987946307227
"108",43,"dog","English","perro",6.76272950693188
"108",45,"dresser","English","buró",7.92479591395644
"108",46,"whale","English","ballena",6.99942246750796
"108",47,"bandaid","English","curita",6.63068338564237
"108",48,"bear","English","oso",7.2841348061952
"108",50,"tree","English","árbol",7.53849499941346
"108",51,"woman","English","mujer",7.18311170174328
"108",53,"turkey","English","pavo",7.31455283232408
"108",54,"sewing machine","English","máquina de coser",7.01031186730723
"108",55,"apple","English","manzana",6.93828448401696
"108",59,"safe","English","caja fuerte",7.028201432058
"108",60,"shoe","English","zapato",6.7202201551353
"108",61,"helmet","English","casco",6.7696419768525
"108",62,"house","English","casa",6.82546003625531
"108",64,"carrot","English","zanahoria",7.32317071794347
"108",65,"barbecue","English","asador",7.16780918431644
"108",70,"thumb","English","dedo",6.85751406254539
"108",71,"bowl","English","plato",6.87729607149743
"108",73,"bone","English","hueso",6.99117688712121
"108",74,"pencil","English","lápiz",7.44600149832412
"108",75,"broom","English","escoba",7.12044437239249
"109",2,"house","English","casa",6.84906628263346
"109",3,"railroadtracks","English","vías",6.96696713861398
"109",5,"vacuum","English","aspiradora",7.22766249872865
"109",6,"dresser","English","buró",6.75110146893676
"109",7,"wagon","English","carrito",6.72142570079064
"109",9,"church","English","iglesia",6.74051935960622
"109",11,"woman","English","mujer",6.63594655568665
"109",14,"airplane","English","avión",6.93244789157251
"109",17,"turkey","English","pavo",7.40427911803727
"109",18,"flag","English","bandera",6.62539236800796
"109",19,"bowl","English","plato",6.53378883793334
"109",22,"bone","English","hueso",6.5510803350434
"109",23,"unicycle","English","monociclo",6.80461452006262
"109",26,"safe","English","caja fuerte",6.70808408385307
"109",27,"ladder","English","escalera",6.76041469108343
"109",28,"pencil","English","lápiz",6.4118182677099
"109",31,"mixer","English","batidora",6.82219739062049
"109",32,"king","English","rey",6.65157187358973
"109",33,"sewing machine","English","máquina de coser",6.89264164117209
"109",34,"ear","English","oreja",6.72503364216684
"109",36,"heart","English","corazón",6.5792512120101
"109",37,"bear","English","oso",7.00124562206948
"109",38,"carrot","English","zanahoria",6.5875500148248
"109",41,"broom","English","escoba",6.63463335786169
"109",43,"bell","English","campana",6.53524127101366
"109",44,"dog","English","perro",6.46769872610435
"109",45,"basket","English","canasta",6.71295620067707
"109",48,"belt","English","cinturón",6.69826805411541
"109",49,"helmet","English","casco",6.64248680136726
"109",52,"whale","English","ballena",6.75227037614174
"109",53,"backpack","English","mochila",6.79234442747081
"109",54,"tree","English","árbol",6.73696695800186
"109",55,"apple","English","manzana",7.18311170174328
"109",59,"arm","English","brazo",6.54678541076052
"109",60,"knife","English","cuchillo",6.880384082186
"109",61,"nose","English","naríz",6.59304453414244
"109",63,"bed","English","cama",6.53524127101366
"109",64,"well","English","pozo",6.61338421837956
"109",67,"beard","English","barba",6.72383244082121
"109",68,"lightswitch","English","apagador",7.05272104923232
"109",69,"barbecue","English","asador",6.92755790627832
"109",70,"thumb","English","dedo",6.97447891102505
"109",71,"bandaid","English","curita",7.08506429395255
"109",75,"shoe","English","zapato",6.74051935960622
"110",1,"bone","English","hueso",7.9287663216267
